Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ExcelDriven,Chrome 76.0.3809.100,,2019-08-24 13:38:11,2019-08-24 13:38:21,9.590s,PASSED
,,,,,,
Test Cases/DataDriven/TC - LoginWithDiffCredentials,Chrome 76.0.3809.100,,2019-08-24 13:38:19,2019-08-24 13:38:20,0.197s,PASSED
try,Chrome 76.0.3809.100,,2019-08-24 13:38:20,2019-08-24 13:38:20,0.019s,PASSED
,,,,,,
Test Cases/DataDriven/TC - LoginWithDiffCredentials,Chrome 76.0.3809.100,,2019-08-24 13:38:20,2019-08-24 13:38:20,0.009s,PASSED
try,Chrome 76.0.3809.100,,2019-08-24 13:38:20,2019-08-24 13:38:20,0.003s,PASSED
,,,,,,
Test Cases/DataDriven/TC - LoginWithDiffCredentials,Chrome 76.0.3809.100,,2019-08-24 13:38:20,2019-08-24 13:38:20,0.011s,PASSED
try,Chrome 76.0.3809.100,,2019-08-24 13:38:20,2019-08-24 13:38:20,0.003s,PASSED
,,,,,,
Test Cases/DataDriven/TC - LoginWithDiffCredentials,Chrome 76.0.3809.100,,2019-08-24 13:38:20,2019-08-24 13:38:20,0.012s,PASSED
try,Chrome 76.0.3809.100,,2019-08-24 13:38:20,2019-08-24 13:38:20,0.003s,PASSED
,,,,,,
Test Cases/DataDriven/TC - LoginWithDiffCredentials,Chrome 76.0.3809.100,,2019-08-24 13:38:20,2019-08-24 13:38:20,0.014s,PASSED
try,Chrome 76.0.3809.100,,2019-08-24 13:38:20,2019-08-24 13:38:20,0.004s,PASSED
